Dataset of plasma-derived EV proteomics using the MagNet protocol - 4380 identified proteins over 117 (healthy subjects) samples of a yet unpublished randomized crossover study;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HR01_S1-A1_1_7553;HR01_S1-A2_1_7610;HR01_S1-A3_1_7644;HR01_S1-A4_1_7605;HR01_S1-A5_1_7635;HR01_S1-A6_1_7541;HR02_S1-A7_1_7559;HR02_S1-A8_1_7623;HR02_S1-A9_1_7539;HR02_S1-A10_1_7531;HR02_S1-A11_1_7593;HR02_S1-A12_1_7650;HR03_S1-B1_1_7620;HR03_S1-B2_1_7627;HR03_S1-B3_1_7583;HR03_S1-B4_1_7548;HR03_S1-B5_1_7542;HR03_S1-B6_1_7614;HR04_S1-B12_1_7641;HR04_S1-C1_1_7560;HR04_S1-C2_1_7576;HR04_S1-C3_1_7587;HR04_S1-C4_1_7615;HR04_S1-C5_1_7599;HR06_S1-B7_1_7622;HR06_S1-B8_1_7600;HR06_S1-B9_1_7580;HR06_S1-B10_1_7566;HR06_S1-B11_1_7649;HR07_S1-C6_1_7645;HR07_S1-C7_1_7634;HR07_S1-C8_1_7574;HR07_S1-C9_1_7604;HR07_S1-C10_1_7628;HR07_S1-C11_1_7589;HR08_S1-C12_1_7651;HR08_S1-D1_1_7537;HR08_S1-D2_1_7550;HR08_S1-D3_1_7579;HR08_S1-D4_1_7552;HR09_S1-D5_1_7643;HR09_S1-D6_1_7636;HR09_S1-D7_1_7556;HR09_S1-D8_1_7558;HR09_S1-D9_1_7572;HR09_S1-D10_1_7544;HR11_S1-D11_1_7535;HR11_S1-D12_1_7638;HR11_S1-E1_1_7592;HR11_S1-E2_1_7646;HR11_S1-E3_1_7631;HR11_S1-E4_1_7601;HR12_S1-G11_1_7625;HR12_S1-G12_1_7607;HR12_S1-H1_1_7575;HR12_S1-H2_1_7570;HR12_S1-H3_1_7613;HR12_S1-H4_1_7591;HR14_S1-E5_1_7578;HR14_S1-E6_1_7571;HR14_S1-E7_1_7633;HR14_S1-E8_1_7567;HR14_S1-E9_1_7598;HR14_S1-E10_1_7562;HR15_S1-E11_1_7527;HR15_S1-E12_1_7609;HR15_S1-F1_1_7569;HR15_S1-F2_1_7557;HR15_S1-F3_1_7529;HR15_S1-F4_1_7547;HR16_S2-A5_1_7632;HR16_S2-A6_1_7612;HR16_S2-A8_1_7573;HR16_S2-A9_1_7597;HR16_S2-A10_1_7526;HR18_S1-G5_1_7536;HR18_S1-G6_1_7530;HR18_S1-G7_1_7647;HR18_S1-G8_1_7595;HR18_S1-G9_1_7543;HR18_S1-G10_1_7565;HR20_S1-F5_1_7563;HR20_S1-F6_1_7596;HR20_S1-F7_1_7621;HR20_S1-F8_1_7582;HR20_S1-F9_1_7639;HR20_S1-F10_1_7630;HR21_S1-H5_1_7533;HR21_S1-H6_1_7624;HR21_S1-H7_1_7546;HR21_S1-H8_1_7554;HR21_S1-H9_1_7594;HR21_S1-H10_1_7534;HR22_S2-A11_1_7602;HR22_S2-A12_1_7640;HR22_S2-B1_1_7545;HR22_S2-B2_1_7637;HR22_S2-B3_1_7528;HR22_S2-B4_1_7540;HR23_S1-F11_1_7618;HR23_S1-F12_1_7588;HR23_S1-G1_1_7586;HR23_S1-G2_1_7608;HR23_S1-G3_1_7626;HR23_S1-G4_1_7532;HR24_S1-H11_1_7561;HR24_S1-H12_1_7584;HR24_S2-A1_1_7585;HR24_S2-A2_1_7648;HR24_S2-A3_1_7619;HR24_S2-A4_1_7611;HR26_S2-B5_1_7568;HR26_S2-B6_1_7555;HR26_S2-B7_1_7606;HR26_S2-B8_1_7549;HR26_S2-B9_1_7581;HR26_S2-B10_1_7617;Genes;First.Protein.Description;Protein.Group
12,3742;13,1828;13,0343;13,1768;13,5121;12,2872;NaN;NaN;NaN;NaN;NaN;NaN;13,2056;12,2312;13,1269;11,4082;11,4446;14,0755;13,0336;11,1373;12,757;13,1325;12,5432;13,3972;NaN;NaN;NaN;NaN;12,7357;10,8323;10,9518;11,6799;12,4078;12,4149;14,0519;13,0832;10,8452;11,2875;9,82778;11,5311;14,0639;13,2792;14,6005;12,8558;12,2316;13,3816;13,0931;15,8758;13,4273;14,4722;13,6438;14,1518;NaN;NaN;NaN;NaN;NaN;NaN;13,7274;12,6673;13,7707;11,9919;13,7482;13,6512;14,0705;14,0679;14,4239;12,2255;NaN;12,2354;14,9452;14,9546;14,5499;14,4601;12,3086;10,7411;13,9353;13,5624;13,4387;12,0253;13,0251;12,1069;12,6691;13,4848;12,5101;12,7372;14,106;11,0316;12,5509;11,5412;13,779;13,319;13,4272;14,3331;13,9719;12,9003;13,9579;13,4844;13,1439;12,2876;11,8466;13,0096;11,388;11,4626;11,1086;NaN;12,2114;12,5797;12,8181;12,9488;12,7446;12,1279;11,0281;13,0748;11,2704;NaN;12,954;IGLV8-61;Immunoglobulin lambda variable 8-61;A0A075B6I0
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;13,4657;13,4625;13,8445;13,452;13,7503;13,6358;NaN;NaN;NaN;NaN;NaN;12,5345;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;12,28;NaN;NaN;NaN;NaN;NaN;12,8228;12,6475;13,0539;12,8779;13,2042;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;12,86;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;12,6446;12,4317;12,9954;NaN;12,9393;12,9926;NaN;NaN;NaN;12,7989;12,9104;15,3747;13,5253;15,7052;15,9149;15,4103;15,6195;NaN;NaN;NaN;NaN;NaN;NaN;13,527;14,0203;13,7874;13,9407;14,166;14,1314;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;13,9171;13,5681;13,4048;13,762;13,2646;13,5955;IGLV10-54;Immunoglobulin lambda variable 10-54;A0A075B6I4
NaN;11,3765;9,98073;11,0548;11,094;10,8382;NaN;NaN;NaN;NaN;10,0384;NaN;13,4166;12,049;13,3353;NaN;NaN;13,1125;14,3826;11,1737;13,4029;13,6106;12,9791;13,9219;12,8948;NaN;12,7526;12,1486;12,5756;10,9979;NaN;9,60091;11,5773;NaN;12,2112;11,5947;NaN;NaN;NaN;NaN;12,3832;11,1506;12,7506;10,8259;NaN;11,955;13,5379;15,867;14,1814;14,5264;13,9775;14,5683;13,1711;13,1029;11,5507;NaN;12,8808;11,1508;13,0554;11,7762;12,7288;10,7952;12,2144;12,9502;13,3667;13,2098;13,5734;11,9296;NaN;12,1876;12,593;12,59;12,0879;12,3785;NaN;NaN;12,1927;11,8511;12,3044;10,5859;NaN;11,9397;12,4235;13,373;13,0621;13,2016;14,6046;10,5015;11,1676;NaN;11,5264;11,1199;11,7488;11,429;10,8187;NaN;11,3828;NaN;NaN;10,8844;9,45447;11,5626;9,91764;NaN;NaN;NaN;10,4315;11,3084;NaN;9,81855;11,7931;NaN;NaN;9,90041;NaN;9,73125;NaN;IGLV7-46;Immunoglobulin lambda variable 7-46;A0A075B6I9
10,2157;11,0768;11,6646;11,0537;10,8286;11,146;13,6389;12,7492;13,21;14,8053;13,8906;14,8597;13,3936;12,6163;13,3802;11,9951;12,0311;13,0182;12,6859;12,0357;12,5488;13,0919;12,7486;12,6295;13,5858;12,9198;13,1704;12,9941;13,1726;12,7451;11,8839;11,9149;12,6914;12,1226;12,1209;12,9526;11,3925;11,8682;11,4299;11,5258;11,8833;10,9555;11,9149;11,1106;11,187;11,5984;14,0792;14,9369;14,0398;14,3521;14,0499;14,1296;12,8571;12,4209;12,2478;11,5219;12,1079;12,4541;12,7031;12,3347;12,8047;11,9622;12,3811;12,9241;13,3993;13,6797;13,4265;14,6034;14,3806;15,0068;13,6749;13,4985;13,5491;13,3068;13,0537;11,3682;13,2922;13,4608;12,8501;12,2424;12,8023;14,0649;14,0041;14,8475;14,3474;14,5609;15,187;12,4318;11,5031;12,6684;12,654;12,8162;12,661;11,7949;11,5267;11,3618;11,4729;11,0489;10,896;10,2276;9,73899;10,7621;9,82485;10,5774;NaN;11,2531;10,2883;11,1787;10,8971;10,9062;10,846;12,6073;11,7893;12,6278;12,9059;12,9052;13,8879;IGLV2-18;Immunoglobulin lambda variable 2-18;A0A075B6J9
8,59624;8,91093;9,17595;9,44405;NaN;8,95312;NaN;NaN;NaN;NaN;NaN;NaN;9,57139;NaN;9,30155;NaN;NaN;9,37124;NaN;NaN;NaN;NaN;NaN;NaN;9,17105;9,30529;NaN;8,56224;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;9,61248;NaN;9,38213;NaN;NaN;10,4236;NaN;NaN;NaN;NaN;NaN;NaN;9,89859;NaN;8,69258;NaN;NaN;8,51018;NaN;NaN;8,68781;9,41988;NaN;9,06121;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;9,97666;8,95497;NaN;9,00541;8,68865;8,36778;NaN;NaN;NaN;NaN;NaN;8,33362;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;IGLV3-16;Immunoglobulin lambda variable 3-16;A0A075B6K0
10,9738;11,329;11,7057;11,9004;11,7307;11,0158;10,8166;10,7677;11,1982;12,1824;11,6666;12,5814;12,9348;12,5833;14,0673;11,5257;12,0527;12,9937;11,5814;10,023;11,5325;11,3613;11,3446;11,6067;13,0188;12,9679;13,5535;13,3424;13,207;10,5833;NaN;NaN;NaN;NaN;NaN;11,9378;11,5155;11,0846;10,2911;11,8759;12,0459;11,2777;12,6184;11,3594;11,1562;11,9559;NaN;NaN;NaN;NaN;NaN;NaN;11,6295;10,6054;10,5026;NaN;10,7664;11,1781;11,7526;11,6646;12,0522;11,5746;11,825;12,073;12,0797;13,2705;12,636;11,439;11,2491;11,6399;12,2464;12,5244;12,0605;11,55;11,2601;9,2439;11,2382;11,595;10,8623;NaN;10,9553;12,7021;12,5331;13,2832;12,5161;12,9733;13,2157;12,2108;11,8846;12,0611;12,1713;12,3213;12,9339;13,072;13,2898;12,6909;12,6707;12,1594;12,6375;11,0939;11,0501;11,2371;11,3327;10,9797;NaN;10,6472;12,4051;12,2519;12,0801;11,6995;12,3256;11,2841;NaN;11,366;11,6342;11,4018;12,6475;IGLV3-10;Immunoglobulin lambda variable 3-10;A0A075B6K4
11,9855;12,4499;12,7848;12,5104;12,5915;12,5718;12,7002;11,2567;11,9139;12,5002;12,7863;12,3018;13,239;13,0425;13,2479;13,1095;12,7517;13,1902;12,0497;12,2897;12,5198;12,6537;12,1217;11,7625;11,0826;11,5011;10,8843;10,9423;10,8308;12,0163;12,4668;12,7976;12,6925;12,2475;11,9435;12,3938;12,5656;12,1307;12,68;12,3247;11,9497;11,6579;11,8535;11,3202;11,8078;11,7288;11,8601;11,9258;12,2927;11,7474;11,8645;11,7984;11,6457;13,1044;11,7894;12,0285;12,3921;12,2705;12,9906;13,0322;12,8377;13,0196;12,5933;12,6457;12,0192;12,2645;12,384;12,0128;12,283;12,2955;12,6229;12,8218;12,7385;12,6089;12,5618;12,1755;11,9539;12,7801;11,6123;12,2748;11,9484;12,2055;12,4432;12,6351;12,1438;12,374;11,7993;12,1834;12,0198;12,4156;11,7486;12,366;11,741;12,6006;12,2182;12,6248;12,1032;12,1945;11,934;13,4301;14,074;13,6316;13,7443;13,7053;12,9918;12,2593;12,2387;11,8722;11,717;12,2275;11,4437;12,9545;12,6193;12,9497;12,9368;13,2442;13,0179;IGLV3-9;Immunoglobulin lambda variable 3-9;A0A075B6K5
10,1891;10,7943;11,0349;10,5014;10,4704;10,9001;10,7848;9,65614;10,1735;11,5556;11,1591;10,7454;10,3694;10,3374;10,5635;9,62001;10,0959;10,2989;9,77431;NaN;NaN;NaN;NaN;8,96885;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;9,74285;9,85779;NaN;10,0359;NaN;10,5551;10,2157;10,6047;10,3766;10,0523;NaN;10,5729;10,5688;10,8917;NaN;10,224;NaN;11,3262;11,3258;11,5782;11,6296;11,3805;11,1;11,1546;11,3036;11,101;11,3542;10,8409;10,8959;11,1783;10,7952;NaN;10,9435;10,8516;10,5822;11,3384;11,1893;11,6873;11,427;11,3112;10,6084;10,5507;11,082;10,818;10,649;10,2816;10,1558;10,7869;10,678;10,3145;10,6641;10,7267;NaN;NaN;NaN;9,77655;NaN;9,66451;10,6822;10,1553;11,128;10,4543;10,0454;NaN;10,6101;11,1694;10,142;10,3581;10,7429;NaN;9,95146;NaN;NaN;NaN;NaN;NaN;NaN;9,52145;10,2573;11,0302;10,2004;10,8195;IGHV4-4;Immunoglobulin heavy variable 4-4;A0A075B6R2
10,5331;10,0778;10,5183;10,3374;10,5005;10,2983;10,3932;8,73853;NaN;10,4333;10,4239;9,81213;11,2712;10,463;10,4377;10,324;10,4612;9,97031;11,0234;11,1686;10,8729;10,8821;11,0369;10,7093;11,1529;10,8752;10,7334;11,0133;10,282;9,75795;9,66894;NaN;10,4688;NaN;9,83294;8,95495;NaN;NaN;NaN;NaN;11,0616;10,2305;11,0639;10,8433;10,7872;11,1233;10,1944;10,7846;10,5423;10,4095;10,4683;10,6533;10,4956;10,7504;9,87955;11,2937;10,1356;10,1234;10,8382;10,7762;11,1164;11,0596;10,5309;11,2402;11,1295;10,4983;NaN;10,6436;10,7201;9,95455;10,403;10,581;10,8296;10,2235;9,5738;9,91976;10,4254;10,5554;9,80638;10,4261;10,6576;10,2791;10,4127;10,8571;10,4524;10,8383;10,4905;10,1291;11,2477;NaN;9,6112;9,23498;NaN;10,6778;NaN;10,4568;10,7725;10,312;10,268;NaN;10,4203;9,09087;9,91728;9,79912;NaN;NaN;10,6975;10,1713;10,3793;11,2248;10,404;9,82213;9,78096;NaN;10,1351;9,98897;10,262;IGKV2D-29;Immunoglobulin kappa variable 2D-29;A0A075B6S2
12,2258;11,94;12,467;13,0909;12,3543;12,3723;12,2793;11,1975;12,1892;12,6964;12,2238;12,6042;13,6207;13,3092;13,5539;13,6526;13,2968;13,4582;11,7586;11,372;11,874;11,7358;11,7314;11,165;13,0684;12,8239;13,1057;12,8745;13,053;12,8416;12,951;12,9346;13,1111;12,9201;12,9255;11,4275;11,9937;11,6162;11,8066;11,7137;11,9594;12,0411;12,2936;12,1569;12,0188;12,2834;12,9643;13,5689;12,6075;12,8744;12,4179;12,6971;12,5054;12,448;12,0929;12,3828;12,4158;12,317;12,8117;12,0159;12,5802;12,2565;12,3853;12,5826;13,1606;12,8317;12,5733;12,4927;12,2643;12,7486;13,0254;13,1857;13,2205;12,9169;12,856;11,0813;12,2304;11,9381;11,9328;11,8835;12,1788;12,5599;11,9951;12,6375;12,4925;12,2705;12,6948;12,1954;11,642;12,0692;12,1614;11,7224;12,0146;11,8273;11,9288;11,5816;11,8956;12,4;NaN;12,2737;11,3401;11,8629;12,2167;11,5082;12,1514;11,699;11,6037;12,2456;11,3084;12,1516;11,4906;11,9474;NaN;11,7746;12,0773;11,8195;12,2626;IGKV1-27;Immunoglobulin kappa variable 1-27;A0A075B6S5
